urn	image_name	rights	caption	description	creator	date	folio_page	contains_urn	edited_by
"urn:cite:perseus:flcimg.60.1"	"LAW.060.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"60"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.61.1"	"LAW.061.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"61"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.62.1"	"LAW.062.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"62"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.63.1"	"LAW.063.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"63"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.64.1"	"LAW.064.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"64"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.65.1"	"LAW.065.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"65"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.66.1"	"LAW.066.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"66"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.67.1"	"LAW.067.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"67"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.68.1"	"LAW.068.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"68"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.69.1"	"LAW.069.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"69"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.70.1"	"LAW.070.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"70"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.71.1"	"LAW.071.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"71"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.72.1"	"LAW.072.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"72"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.73.1"	"LAW.073.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"73"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.74.1"	"LAW.074.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"74"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.75.1"	"LAW.075.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"75"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.76.1"	"LAW.076.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"76"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.77.1"	"LAW.077.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"77"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.78.1"	"LAW.078.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"78"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.79.1"	"LAW.079.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"79"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.80.1"	"LAW.080.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"80"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.81.1"	"LAW.081.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"81"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.82.1"	"LAW.082.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"82"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.83.1"	"LAW.083.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"83"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.84.1"	"LAW.084.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"84"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.85.1"	"LAW.085.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"85"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.86.1"	"LAW.086.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"86"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.87.1"	"LAW.087.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"87"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.88.1"	"LAW.088.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"88"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.89.1"	"LAW.089.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"89"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.90.1"	"LAW.090.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"90"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.91.1"	"LAW.091.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"91"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.92.1"	"LAW.092.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"92"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.93.1"	"LAW.093.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"93"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.94.1"	"LAW.094.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"94"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.95.1"	"LAW.095.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"95"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.96.1"	"LAW.096.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"96"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.97.1"	"LAW.097.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"97"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.98.1"	"LAW.098.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"98"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.99.1"	"LAW.099.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"99"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.100.1"	"LAW.100.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"100"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.101.1"	"LAW.101.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"101"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.102.1"	"LAW.102.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"102"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.103.1"	"LAW.103.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"103"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.104.1"	"LAW.104.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"104"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.105.1"	"LAW.105.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"105"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.106.1"	"LAW.106.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"106"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.107.1"	"LAW.107.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"107"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.108.1"	"LAW.108.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"108"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.109.1"	"LAW.109.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"109"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.110.1"	"LAW.110.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"110"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.111.1"	"LAW.111.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"111"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.112.1"	"LAW.112.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"112"	""	"Bridget Almas <balmas@gmail.com>"
"urn:cite:perseus:flcimg.113.1"	"LAW.113.tif"	"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."	""	""	"Tisch Library, Tufts University"	"2013-10-01"	"113"	""	"Bridget Almas <balmas@gmail.com>"
